,Patron Type Code,Patron Type Definition,Total Checkouts,Total Renewals,Age Range,Home Library Code,Home Library Definition,Circulation Active Month,Circulation Active Year,Notice Preference Code,Notice Preference Definition,Provided Email Address,Year Patron Registered,Outside of County,Supervisor District
398092,1,JUVENILE,7,0,0 to 9 years,M6,Mission,May,2014,z,email,True,2013,False,8.0
51815,0,ADULT,235,36,45 to 54 years,R3,Richmond,February,2016,z,email,True,2011,False,0.0
293492,0,ADULT,2,2,25 to 34 years,P3,Parkside,June,2015,p,phone,False,2012,False,4.0
356526,3,SENIOR,7,0,75 years and over,C2,Chinatown,May,2014,a,print,False,2003,False,3.0
21367,0,ADULT,3,0,35 to 44 years,X,Main Library,August,2013,z,email,True,2008,False,8.0
166685,0,ADULT,448,63,20 to 24 years,O7,Ortega,December,2014,z,email,True,2003,False,7.0
377691,0,ADULT,74,14,20 to 24 years,M6,Mission,May,2016,p,phone,False,2003,False,6.0
37021,0,ADULT,31,31,45 to 54 years,X,Main Library,September,2013,z,email,True,2003,False,2.0
217289,0,ADULT,22,13,25 to 34 years,M8,Mission Bay,July,2016,z,email,True,2016,False,6.0
213689,3,SENIOR,0,0,65 to 74 years,X,Main Library,None,None,z,email,True,2013,True,0.0
57399,0,ADULT,333,195,45 to 54 years,X,Main Library,August,2013,z,email,True,2009,True,0.0
343124,2,YOUNG ADULT,129,5,10 to 19 years,M6,Mission,June,2016,p,phone,False,2015,False,8.0
263412,0,ADULT,0,0,35 to 44 years,X,Main Library,None,None,a,print,False,2013,True,0.0
357467,2,YOUNG ADULT,30,14,10 to 19 years,X,Main Library,August,2013,z,email,True,2007,True,0.0
3174,0,ADULT,46,0,35 to 44 years,O7,Ortega,December,2015,z,email,True,2013,False,4.0
13353,0,ADULT,23,24,45 to 54 years,E9,Excelsior,December,2012,z,email,True,2008,True,0.0
330771,1,JUVENILE,0,0,0 to 9 years,P3,Parkside,None,None,z,email,True,2015,False,4.0
186221,0,ADULT,4,0,35 to 44 years,X,Main Library,January,2016,z,email,True,2015,True,0.0
85492,0,ADULT,2,4,25 to 34 years,M6,Mission,June,2015,p,phone,False,2015,False,8.0
172613,0,ADULT,1,3,25 to 34 years,P5,Portola,October,2015,z,email,True,2015,False,7.0
406381,1,JUVENILE,1,0,10 to 19 years,S7,Sunset,May,2016,z,email,True,2014,False,4.0
384881,1,JUVENILE,1390,148,10 to 19 years,R3,Richmond,July,2016,z,email,True,2007,False,2.0
368733,1,JUVENILE,37,25,0 to 9 years,C2,Chinatown,July,2016,a,print,True,2014,False,3.0
197987,0,ADULT,1,1,20 to 24 years,R3,Richmond,May,2016,z,email,True,2015,True,0.0
277792,0,ADULT,4,0,25 to 34 years,X,Main Library,May,2016,z,email,True,2011,False,0.0
151202,0,ADULT,7,0,45 to 54 years,E9,Excelsior,August,2014,z,email,True,2014,False,11.0
84067,0,ADULT,0,0,45 to 54 years,X,Main Library,None,None,p,phone,False,2013,True,0.0
87300,0,ADULT,0,0,35 to 44 years,O7,Ortega,None,None,z,email,True,2013,False,7.0
160565,0,ADULT,179,60,35 to 44 years,E7,Eureka Valley/Harvey Milk Memorial,July,2016,z,email,True,2010,False,0.0
88643,0,ADULT,0,0,25 to 34 years,X,Main Library,None,None,z,email,True,2015,False,6.0
52700,3,SENIOR,63,20,65 to 74 years,E7,Eureka Valley/Harvey Milk Memorial,March,2015,a,print,False,2010,False,0.0
49394,0,ADULT,151,10,45 to 54 years,E9,Excelsior,May,2015,z,email,True,2003,False,7.0
41744,0,ADULT,19,0,45 to 54 years,X,Main Library,July,2016,a,print,False,2003,False,7.0
257133,3,SENIOR,0,0,65 to 74 years,G6,Golden Gate Valley,None,None,z,email,True,2015,True,0.0
323731,3,SENIOR,41,67,75 years and over,X,Main Library,August,2015,z,email,True,2008,True,0.0
49899,0,ADULT,7,3,20 to 24 years,M6,Mission,December,2009,p,phone,False,2008,False,9.0
105219,0,ADULT,0,0,25 to 34 years,X,Main Library,None,None,z,email,True,2016,False,8.0
406814,1,JUVENILE,23,0,0 to 9 years,X,Main Library,July,2016,a,print,False,2016,False,7.0
78993,3,SENIOR,22,25,65 to 74 years,X,Main Library,September,2014,p,phone,False,2003,False,0.0
256047,0,ADULT,389,257,35 to 44 years,X,Main Library,June,2016,z,email,True,2004,False,9.0
363042,1,JUVENILE,18,0,0 to 9 years,W4,Western Addition,June,2013,z,email,True,2012,False,0.0
26850,3,SENIOR,51,10,65 to 74 years,X,Main Library,October,2015,z,email,True,2003,True,0.0
8007,0,ADULT,142,58,55 to 59 years,O7,Ortega,March,2013,z,email,True,2003,False,4.0
