,Patron Type Code,Patron Type Definition,Total Checkouts,Total Renewals,Age Range,Home Library Code,Home Library Definition,Circulation Active Month,Circulation Active Year,Notice Preference Code,Notice Preference Definition,Provided Email Address,Year Patron Registered,Outside of County,Supervisor District
62682,0,ADULT,3,0,35 to 44 years,N4,Noe Valley/Sally Brunn,February,2014,z,email,True,2013,True,0.0
39454,0,ADULT,1,0,25 to 34 years,X,Main Library,March,2016,a,print,False,2016,True,0.0
275931,4,WELCOME,1,0,25 to 34 years,P7,Potrero,September,2014,z,email,True,2014,False,10.0
195961,0,ADULT,102,24,25 to 34 years,G4,Glen Park,July,2013,z,email,True,2009,False,7.0
296644,0,ADULT,108,19,20 to 24 years,R3,Richmond,August,2013,z,email,True,2003,False,1.0
318078,3,SENIOR,469,4,75 years and over,R3,Richmond,July,2016,z,email,True,2003,False,1.0
177719,0,ADULT,10,5,60 to 64 years,X,Main Library,November,2014,z,email,True,2014,True,0.0
221747,0,ADULT,25,18,35 to 44 years,X,Main Library,January,2014,z,email,True,2003,True,0.0
369351,2,YOUNG ADULT,476,218,10 to 19 years,S7,Sunset,December,2015,z,email,True,2008,False,1.0
228068,0,ADULT,178,14,35 to 44 years,W4,Western Addition,June,2016,z,email,True,2012,False,5.0
235935,3,SENIOR,130,9,65 to 74 years,O7,Ortega,February,2015,p,phone,False,2006,False,4.0
7781,0,ADULT,113,22,35 to 44 years,M6,Mission,February,2014,z,email,True,2011,False,11.0
219857,3,SENIOR,1182,4,65 to 74 years,X,Main Library,March,2015,z,email,True,2003,False,2.0
8593,4,WELCOME,0,0,25 to 34 years,X,Main Library,None,None,z,email,True,2015,True,0.0
224981,0,ADULT,7,7,20 to 24 years,I5,Ingleside,May,2016,p,phone,True,2015,False,11.0
105228,0,ADULT,0,0,25 to 34 years,X,Main Library,None,None,z,email,True,2016,False,8.0
44572,0,ADULT,1796,920,60 to 64 years,A5,Anza,July,2016,z,email,True,2003,False,1.0
199195,4,WELCOME,4,2,25 to 34 years,M4,Merced,May,2016,z,email,True,2015,False,1.0
43371,0,ADULT,0,0,60 to 64 years,P9,Presidio,September,2011,z,email,True,2011,False,4.0
225827,0,ADULT,2,0,45 to 54 years,X,Main Library,April,2016,p,phone,False,2014,False,6.0
367356,1,JUVENILE,19,0,0 to 9 years,E9,Excelsior,July,2016,a,print,False,2016,False,11.0
248199,0,ADULT,8,7,25 to 34 years,R3,Richmond,December,2014,z,email,True,2014,False,1.0
166469,0,ADULT,174,53,25 to 34 years,X,Main Library,October,2014,z,email,True,2007,False,5.0
210818,0,ADULT,34,5,20 to 24 years,X,Main Library,July,2016,z,email,True,2015,False,5.0
93680,0,ADULT,133,1,45 to 54 years,W4,Western Addition,November,2015,z,email,True,2008,True,0.0
66209,0,ADULT,33,2,25 to 34 years,X,Main Library,April,2015,p,phone,False,2003,False,0.0
357078,0,ADULT,1,1,35 to 44 years,X,Main Library,November,2014,z,email,True,2014,True,0.0
213897,3,SENIOR,0,0,65 to 74 years,X,Main Library,None,None,z,email,True,2013,True,0.0
372020,2,YOUNG ADULT,221,386,10 to 19 years,W2,West Portal,November,2015,z,email,True,2012,False,7.0
195762,3,SENIOR,901,180,65 to 74 years,V3,Visitacion Valley,March,2016,z,email,True,2003,True,0.0
106276,0,ADULT,332,361,25 to 34 years,E9,Excelsior,July,2016,z,email,True,2003,False,10.0
302381,0,ADULT,11,0,25 to 34 years,X,Main Library,November,2012,z,email,True,2012,False,6.0
281203,0,ADULT,0,0,45 to 54 years,X,Main Library,None,None,z,email,True,2014,True,0.0
332175,0,ADULT,40,28,10 to 19 years,W2,West Portal,June,2009,a,print,False,2003,False,7.0
219821,0,ADULT,6,8,25 to 34 years,X,Main Library,September,2014,p,phone,False,2011,False,0.0
382140,1,JUVENILE,719,842,0 to 9 years,I5,Ingleside,July,2016,z,email,True,2011,False,11.0
396282,1,JUVENILE,0,0,0 to 9 years,B2,Bayview/Linda Brooks-Burton,None,None,p,phone,False,2015,False,10.0
360339,2,YOUNG ADULT,159,5,10 to 19 years,W2,West Portal,July,2016,z,email,True,2009,False,7.0
342485,2,YOUNG ADULT,1,0,10 to 19 years,E9,Excelsior,May,2016,z,email,True,2009,False,9.0
292280,0,ADULT,10,2,25 to 34 years,E9,Excelsior,November,2011,z,email,True,2009,True,0.0
341098,0,ADULT,47,17,25 to 34 years,O7,Ortega,April,2015,z,email,True,2003,False,4.0
318091,0,ADULT,49,2,10 to 19 years,E9,Excelsior,July,2015,z,email,True,2005,False,11.0
5501,0,ADULT,5,0,55 to 59 years,M6,Mission,March,2013,p,phone,False,2013,False,6.0
12470,0,ADULT,24,0,25 to 34 years,E9,Excelsior,August,2015,z,email,True,2009,False,11.0
136762,0,ADULT,0,0,45 to 54 years,X,Main Library,None,None,z,email,True,2014,False,3.0
201951,0,ADULT,2,0,35 to 44 years,X,Main Library,June,2014,z,email,True,2014,False,5.0
409477,1,JUVENILE,6,10,10 to 19 years,P7,Potrero,July,2014,z,email,True,2013,False,8.0
50036,0,ADULT,0,0,45 to 54 years,M8,Mission Bay,July,2016,z,email,True,2015,False,6.0
292363,0,ADULT,45,0,35 to 44 years,G4,Glen Park,August,2013,z,email,True,2008,False,8.0
59417,0,ADULT,510,99,45 to 54 years,S7,Sunset,July,2016,z,email,True,2012,False,4.0
63662,0,ADULT,2,0,25 to 34 years,X,Main Library,October,2013,z,email,True,2013,False,0.0
322575,2,YOUNG ADULT,452,12,10 to 19 years,I5,Ingleside,June,2016,p,phone,False,2008,False,11.0
59492,0,ADULT,34,2,55 to 59 years,W2,West Portal,May,2015,z,email,True,2003,False,7.0
196707,0,ADULT,37,10,25 to 34 years,X,Main Library,June,2016,z,email,True,2009,False,6.0
230628,0,ADULT,571,11,45 to 54 years,V3,Visitacion Valley,November,2013,z,email,True,2003,False,10.0
272304,0,ADULT,4,3,45 to 54 years,I5,Ingleside,May,2013,z,email,True,2012,False,0.0
33645,0,ADULT,1,0,20 to 24 years,I5,Ingleside,November,2015,z,email,True,2012,False,11.0
5137,0,ADULT,3,3,25 to 34 years,X,Main Library,January,2016,z,email,True,2013,False,5.0
94840,0,ADULT,9,0,55 to 59 years,X,Main Library,June,2012,a,print,False,2003,False,0.0
137680,4,WELCOME,0,0,60 to 64 years,X,Main Library,None,None,p,phone,False,2016,False,10.0
361326,1,JUVENILE,270,28,0 to 9 years,O7,Ortega,January,2016,z,email,True,2011,False,4.0
289725,0,ADULT,22,0,20 to 24 years,O7,Ortega,January,2014,z,email,True,2013,False,4.0
326633,2,YOUNG ADULT,129,119,10 to 19 years,E9,Excelsior,June,2016,z,email,True,2005,False,11.0
107163,0,ADULT,83,78,45 to 54 years,X,Main Library,July,2016,z,email,True,2003,False,11.0
178066,0,ADULT,164,82,35 to 44 years,R3,Richmond,July,2014,z,email,True,2011,False,2.0
274294,0,ADULT,0,0,45 to 54 years,X,Main Library,None,None,z,email,True,2015,True,0.0
117828,0,ADULT,64,5,45 to 54 years,X,Main Library,November,2014,z,email,True,2011,False,0.0
102220,0,ADULT,149,107,45 to 54 years,W2,West Portal,November,2013,z,email,True,2003,False,4.0
316684,2,YOUNG ADULT,0,0,10 to 19 years,P5,Portola,None,None,z,email,True,2016,False,10.0
370071,1,JUVENILE,1,0,10 to 19 years,B2,Bayview/Linda Brooks-Burton,March,2015,a,print,False,2010,False,10.0
66159,0,ADULT,435,47,35 to 44 years,X,Main Library,July,2016,p,phone,False,2013,False,0.0
345681,1,JUVENILE,94,0,10 to 19 years,E7,Eureka Valley/Harvey Milk Memorial,January,2015,a,print,False,2011,False,9.0
26010,4,WELCOME,0,0,35 to 44 years,X,Main Library,None,None,z,email,True,2015,False,5.0
257997,3,SENIOR,5,0,65 to 74 years,X,Main Library,January,2016,z,email,True,2014,False,5.0
81202,0,ADULT,1,0,25 to 34 years,X,Main Library,February,2014,z,email,True,2014,True,0.0
295662,0,ADULT,54,0,45 to 54 years,M6,Mission,February,2014,p,phone,False,2003,True,0.0
142704,15,TEACHER CARD,4,0,65 to 74 years,O7,Ortega,February,2015,z,email,True,2014,False,4.0
240792,0,ADULT,49,7,35 to 44 years,S7,Sunset,April,2015,z,email,True,2003,False,3.0
307513,1,JUVENILE,3,0,10 to 19 years,X,Main Library,May,2013,z,email,True,2010,False,7.0
339212,1,JUVENILE,91,10,0 to 9 years,O7,Ortega,May,2014,z,email,True,2012,False,4.0
204430,0,ADULT,116,71,60 to 64 years,X,Main Library,December,2014,z,email,True,2003,False,7.0
136496,0,ADULT,1,1,35 to 44 years,X,Main Library,November,2014,z,email,True,2014,True,0.0
195708,0,ADULT,2,0,60 to 64 years,P1,Park,May,2013,z,email,True,2012,True,0.0
51098,0,ADULT,44,29,65 to 74 years,M8,Mission Bay,May,2013,z,email,True,2006,True,0.0
68075,0,ADULT,1,4,20 to 24 years,M4,Merced,December,2015,z,email,True,2015,False,7.0
87819,0,ADULT,10,0,35 to 44 years,M6,Mission,August,2012,p,phone,False,2011,False,9.0
51442,0,ADULT,19,5,25 to 34 years,B4,Bernal Heights,July,2016,z,email,True,2011,False,0.0
238620,0,ADULT,2,0,25 to 34 years,I5,Ingleside,December,2015,z,email,True,2015,False,1.0
421134,1,JUVENILE,243,0,10 to 19 years,C2,Chinatown,June,2016,p,phone,False,2011,False,3.0
372185,0,ADULT,184,19,10 to 19 years,M4,Merced,July,2016,z,email,True,2003,False,7.0
245482,16,DIGITAL ACCESS CARD,0,0,60 to 64 years,R3,Richmond,None,None,z,email,True,2015,False,1.0
31586,0,ADULT,131,289,25 to 34 years,B2,Bayview/Linda Brooks-Burton,June,2010,z,email,True,2003,False,10.0
367071,0,ADULT,1281,317,10 to 19 years,C2,Chinatown,January,2015,z,email,True,2003,False,5.0
299465,0,ADULT,0,0,45 to 54 years,X,Main Library,None,None,z,email,True,2009,True,0.0
397998,3,SENIOR,0,0,75 years and over,M8,Mission Bay,None,None,z,email,True,2012,True,0.0
383851,2,YOUNG ADULT,47,12,10 to 19 years,E7,Eureka Valley/Harvey Milk Memorial,November,2014,p,phone,False,2009,False,9.0
312780,2,YOUNG ADULT,817,447,10 to 19 years,A5,Anza,June,2016,z,email,True,2008,False,1.0
166427,3,SENIOR,0,0,65 to 74 years,B2,Bayview/Linda Brooks-Burton,None,None,z,email,True,2013,False,10.0
185185,3,SENIOR,1365,0,65 to 74 years,X,Main Library,September,2015,p,phone,False,2013,False,6.0
247709,0,ADULT,552,442,35 to 44 years,M8,Mission Bay,June,2016,z,email,True,2009,False,6.0
247751,0,ADULT,6,0,45 to 54 years,M6,Mission,July,2014,z,email,True,2014,False,8.0
398228,1,JUVENILE,171,25,0 to 9 years,P5,Portola,July,2016,z,email,True,2013,False,9.0
392523,1,JUVENILE,386,810,0 to 9 years,G4,Glen Park,July,2016,z,email,True,2010,False,7.0
26382,0,ADULT,21,0,35 to 44 years,P3,Parkside,July,2015,z,email,True,2015,False,4.0
382749,0,ADULT,632,611,10 to 19 years,R3,Richmond,September,2013,p,phone,True,2003,False,1.0
338816,1,JUVENILE,9,0,0 to 9 years,W2,West Portal,March,2016,z,email,True,2014,False,7.0
313821,1,JUVENILE,722,449,0 to 9 years,P3,Parkside,July,2016,z,email,True,2010,False,1.0
230060,0,ADULT,36,12,55 to 59 years,W2,West Portal,May,2016,z,email,True,2015,False,7.0
21121,0,ADULT,2,4,35 to 44 years,P1,Park,October,2014,z,email,True,2011,False,5.0
307708,3,SENIOR,356,0,75 years and over,N6,North Beach,March,2016,z,email,True,2006,False,3.0
418741,3,SENIOR,53,25,75 years and over,M2,Marina,March,2014,p,phone,False,2003,False,2.0
49311,0,ADULT,14,7,35 to 44 years,X,Main Library,October,2014,z,email,True,2011,False,0.0
118860,0,ADULT,19,2,55 to 59 years,R3,Richmond,March,2016,z,email,True,2015,False,1.0
237281,0,ADULT,66,86,45 to 54 years,N6,North Beach,July,2016,z,email,True,2014,False,5.0
28015,0,ADULT,51,7,25 to 34 years,X,Main Library,September,2015,z,email,True,2010,False,6.0
141244,0,ADULT,37,25,35 to 44 years,X,Main Library,October,2014,z,email,True,2009,False,3.0
360721,16,DIGITAL ACCESS CARD,0,0,10 to 19 years,P1,Park,None,None,z,email,True,2015,False,1.0
63246,3,SENIOR,598,463,65 to 74 years,W2,West Portal,June,2016,z,email,True,2004,False,5.0
34519,0,ADULT,79,68,45 to 54 years,P1,Park,May,2016,z,email,True,2007,False,5.0
357191,1,JUVENILE,177,21,10 to 19 years,P7,Potrero,June,2016,z,email,True,2012,False,10.0
320671,3,SENIOR,0,0,75 years and over,X,Main Library,None,None,z,email,True,2016,False,5.0
175040,3,SENIOR,401,53,65 to 74 years,X,Main Library,July,2016,p,phone,True,2003,False,8.0
415145,0,ADULT,0,0,35 to 44 years,W4,Western Addition,None,None,z,email,True,2012,True,0.0
395243,1,JUVENILE,342,10,10 to 19 years,C2,Chinatown,June,2016,p,phone,False,2008,False,0.0
262697,0,ADULT,6,6,35 to 44 years,P1,Park,April,2016,p,phone,False,2014,False,5.0
334079,2,YOUNG ADULT,0,0,10 to 19 years,P5,Portola,None,None,z,email,True,2013,False,0.0
92359,0,ADULT,21,0,45 to 54 years,C2,Chinatown,October,2013,p,phone,False,2010,False,0.0
407625,1,JUVENILE,11,0,0 to 9 years,V3,Visitacion Valley,July,2016,a,print,False,2015,False,10.0
391586,0,ADULT,1,1,0 to 9 years,X,Main Library,October,2014,p,phone,True,2014,False,7.0
184754,0,ADULT,23,39,55 to 59 years,P9,Presidio,July,2016,p,phone,True,2013,False,2.0
220044,0,ADULT,0,0,25 to 34 years,M4,Merced,None,None,z,email,True,2014,False,7.0
7983,0,ADULT,7,19,35 to 44 years,M6,Mission,December,2015,z,email,True,2014,False,8.0
181096,0,ADULT,60,11,55 to 59 years,R3,Richmond,August,2013,z,email,True,2013,False,0.0
189797,0,ADULT,0,0,35 to 44 years,M6,Mission,None,None,z,email,True,2016,False,8.0
145089,0,ADULT,345,68,35 to 44 years,P1,Park,September,2015,z,email,True,2006,False,8.0
417974,0,ADULT,64,4,10 to 19 years,P5,Portola,June,2014,z,email,True,2010,False,0.0
56587,0,ADULT,18,1,25 to 34 years,X,Main Library,July,2016,z,email,True,2015,False,9.0
190680,4,WELCOME,0,0,20 to 24 years,X,Main Library,None,None,z,email,True,2016,True,0.0
155274,0,ADULT,0,0,35 to 44 years,M2,Marina,None,None,z,email,True,2014,False,6.0
181937,0,ADULT,43,85,55 to 59 years,B2,Bayview/Linda Brooks-Burton,October,2015,p,phone,False,2010,False,0.0
3326,0,ADULT,270,102,20 to 24 years,M6,Mission,October,2014,z,email,True,2003,False,9.0
23034,0,ADULT,4,4,35 to 44 years,X,Main Library,July,2012,z,email,True,2008,False,5.0
261725,0,ADULT,146,15,20 to 24 years,W2,West Portal,May,2015,z,email,True,2003,False,11.0
1607,16,DIGITAL ACCESS CARD,0,0,25 to 34 years,X,Main Library,None,None,z,email,True,2016,True,0.0
241140,0,ADULT,48,44,35 to 44 years,A5,Anza,September,2014,z,email,True,2005,False,1.0
189903,0,ADULT,12,0,55 to 59 years,X,Main Library,February,2016,z,email,True,2015,True,0.0
242903,0,ADULT,0,0,25 to 34 years,X,Main Library,None,None,z,email,True,2014,False,3.0
409420,0,ADULT,74,13,65 to 74 years,X,Main Library,May,2016,z,email,True,2008,True,0.0
252139,0,ADULT,4,2,35 to 44 years,N4,Noe Valley/Sally Brunn,November,2015,z,email,True,2012,False,0.0
39127,0,ADULT,7,0,20 to 24 years,M4,Merced,May,2015,z,email,True,2015,False,11.0
309427,1,JUVENILE,63,1,10 to 19 years,X,Main Library,July,2016,z,email,True,2015,False,5.0
165719,0,ADULT,13,17,35 to 44 years,X,Main Library,December,2012,z,email,True,2003,False,6.0
213202,0,ADULT,29,8,35 to 44 years,M2,Marina,February,2016,z,email,True,2004,False,6.0
281997,4,WELCOME,0,0,25 to 34 years,A5,Anza,None,None,z,email,True,2014,True,0.0
378042,2,YOUNG ADULT,41,10,10 to 19 years,C2,Chinatown,April,2014,p,phone,False,2004,False,10.0
208964,3,SENIOR,0,0,65 to 74 years,C2,Chinatown,August,2013,z,email,True,2012,True,0.0
58830,0,ADULT,181,274,55 to 59 years,X,Main Library,July,2016,z,email,True,2007,False,4.0
343514,1,JUVENILE,21,0,0 to 9 years,W4,Western Addition,April,2016,z,email,True,2016,False,5.0
326654,0,ADULT,381,21,10 to 19 years,E9,Excelsior,May,2016,z,email,True,2003,False,11.0
92758,0,ADULT,7,3,45 to 54 years,M6,Mission,June,2016,z,email,True,2010,False,9.0
300299,0,ADULT,2,0,25 to 34 years,X,Main Library,February,2014,z,email,True,2014,False,5.0
330032,1,JUVENILE,8,0,0 to 9 years,S7,Sunset,March,2016,z,email,True,2013,False,7.0
73636,0,ADULT,17,0,55 to 59 years,X,Main Library,October,2015,z,email,True,2015,True,0.0
188094,3,SENIOR,2,0,65 to 74 years,X,Main Library,May,2014,z,email,True,2011,True,0.0
93089,4,WELCOME,1,1,25 to 34 years,I5,Ingleside,July,2016,z,email,True,2016,False,10.0
271163,0,ADULT,16,25,25 to 34 years,X,Main Library,February,2015,z,email,True,2013,False,5.0
74104,0,ADULT,4,0,45 to 54 years,M2,Marina,February,2015,p,phone,True,2013,False,6.0
278614,0,ADULT,2,0,25 to 34 years,X,Main Library,July,2013,z,email,True,2013,False,4.0
398279,2,YOUNG ADULT,239,57,10 to 19 years,P5,Portola,May,2015,z,email,True,2007,False,7.0
310785,1,JUVENILE,13,16,0 to 9 years,A5,Anza,May,2015,z,email,True,2015,False,0.0
369039,0,ADULT,10,0,55 to 59 years,X,Main Library,April,2014,z,email,True,2009,False,10.0
290269,0,ADULT,0,0,35 to 44 years,X,Main Library,None,None,z,email,True,2015,True,0.0
107474,0,ADULT,9,8,35 to 44 years,W4,Western Addition,October,2015,z,email,True,2013,False,0.0
165843,3,SENIOR,33,0,65 to 74 years,M2,Marina,August,2014,a,print,False,2009,False,2.0
245844,0,ADULT,8,11,25 to 34 years,W4,Western Addition,May,2013,z,email,True,2012,False,2.0
331023,1,JUVENILE,138,6,10 to 19 years,P5,Portola,July,2016,z,email,True,2013,False,9.0
64407,0,ADULT,3,0,25 to 34 years,M2,Marina,December,2013,z,email,True,2013,False,2.0
30924,0,ADULT,30,30,35 to 44 years,P9,Presidio,July,2016,z,email,True,2008,False,2.0
350039,1,JUVENILE,18,2,0 to 9 years,M4,Merced,October,2015,z,email,True,2013,False,11.0
339277,3,SENIOR,10,0,75 years and over,M4,Merced,August,2013,z,email,True,2012,False,11.0
302242,0,ADULT,12,0,35 to 44 years,O7,Ortega,February,2014,z,email,True,2013,False,4.0
260902,0,ADULT,2,0,25 to 34 years,I5,Ingleside,October,2015,z,email,True,2015,False,11.0
61625,3,SENIOR,0,0,65 to 74 years,M8,Mission Bay,None,None,z,email,True,2015,False,6.0
349281,0,ADULT,313,22,10 to 19 years,P5,Portola,May,2015,p,phone,False,2008,False,9.0
391049,2,YOUNG ADULT,9,0,10 to 19 years,A5,Anza,July,2015,z,email,True,2015,False,1.0
57667,4,WELCOME,1,0,60 to 64 years,X,Main Library,May,2014,p,phone,False,2014,False,3.0
311972,3,SENIOR,49,100,75 years and over,S7,Sunset,June,2016,p,phone,False,2013,False,7.0
408735,1,JUVENILE,207,64,0 to 9 years,M6,Mission,October,2014,z,email,True,2009,False,8.0
279310,0,ADULT,1,0,25 to 34 years,X,Main Library,November,2013,z,email,True,2013,False,10.0
55229,0,ADULT,123,31,45 to 54 years,X,Main Library,June,2016,p,phone,False,2008,False,10.0
234999,0,ADULT,101,11,20 to 24 years,M6,Mission,June,2014,z,email,True,2008,False,5.0
134038,3,SENIOR,73,0,65 to 74 years,P7,Potrero,June,2016,z,email,True,2010,False,10.0
226499,0,ADULT,0,0,45 to 54 years,X,Main Library,None,None,z,email,True,2012,True,0.0
195806,0,ADULT,0,0,45 to 54 years,V3,Visitacion Valley,None,None,z,email,True,2015,False,10.0
332981,3,SENIOR,0,0,75 years and over,R3,Richmond,July,2014,z,email,True,2014,False,2.0
111258,0,ADULT,1780,164,45 to 54 years,X,Main Library,July,2016,z,email,True,2003,False,1.0
409012,3,SENIOR,1,2,75 years and over,O7,Ortega,January,2014,a,print,False,2012,False,4.0
313871,1,JUVENILE,209,7,10 to 19 years,M4,Merced,July,2016,p,phone,True,2013,True,0.0
94248,0,ADULT,190,54,55 to 59 years,M6,Mission,October,2015,z,email,True,2004,False,9.0
14202,0,ADULT,127,164,25 to 34 years,G4,Glen Park,March,2016,z,email,True,2004,False,11.0
81372,0,ADULT,1448,51,45 to 54 years,G4,Glen Park,April,2016,z,email,True,2003,False,8.0
57212,0,ADULT,15,0,25 to 34 years,X,Main Library,June,2014,z,email,True,2008,True,0.0
29938,0,ADULT,188,94,20 to 24 years,E7,Eureka Valley/Harvey Milk Memorial,August,2015,z,email,True,2003,False,8.0
159993,3,SENIOR,1820,4264,65 to 74 years,M4,Merced,July,2016,z,email,True,2007,True,0.0
281915,0,ADULT,30,1,20 to 24 years,M2,Marina,July,2016,z,email,True,2015,False,2.0
33742,0,ADULT,22,10,35 to 44 years,M6,Mission,May,2014,z,email,True,2009,False,11.0
57513,0,ADULT,40,44,45 to 54 years,I5,Ingleside,September,2015,z,email,True,2014,True,0.0
178146,0,ADULT,198,197,20 to 24 years,X,Main Library,October,2015,z,email,True,2003,False,6.0
59198,0,ADULT,4,0,25 to 34 years,E9,Excelsior,March,2015,z,email,True,2011,False,11.0
52425,4,WELCOME,0,0,20 to 24 years,X,Main Library,None,None,z,email,True,2014,True,0.0
125670,0,ADULT,0,0,25 to 34 years,X,Main Library,None,None,z,email,True,2014,True,0.0
223623,3,SENIOR,2612,516,65 to 74 years,R3,Richmond,July,2016,a,print,True,2003,False,1.0
266714,0,ADULT,2,0,60 to 64 years,B2,Bayview/Linda Brooks-Burton,June,2014,p,phone,False,2005,False,10.0
69739,0,ADULT,0,0,35 to 44 years,G6,Golden Gate Valley,None,None,z,email,True,2014,False,2.0
185892,3,SENIOR,0,0,60 to 64 years,E9,Excelsior,None,None,z,email,True,2015,False,11.0
309396,3,SENIOR,28,2,75 years and over,V3,Visitacion Valley,November,2015,a,print,False,2014,False,0.0
80910,0,ADULT,2,0,35 to 44 years,G4,Glen Park,December,2013,z,email,True,2013,True,0.0
274554,0,ADULT,0,0,45 to 54 years,X,Main Library,None,None,z,email,True,2015,True,0.0
170795,0,ADULT,344,234,20 to 24 years,P3,Parkside,January,2015,z,email,True,2006,False,7.0
141773,0,ADULT,4,1,35 to 44 years,N6,North Beach,June,2014,z,email,True,2014,True,0.0
40557,0,ADULT,1,0,60 to 64 years,X,Main Library,June,2014,z,email,True,2014,False,3.0
29482,4,WELCOME,1,0,25 to 34 years,X,Main Library,July,2013,p,phone,False,2013,False,0.0
368505,1,JUVENILE,1167,1611,10 to 19 years,S7J,Unknown,July,2016,z,email,True,2005,False,4.0
2116,0,ADULT,175,177,55 to 59 years,X,Main Library,July,2016,z,email,True,2003,False,10.0
301930,0,ADULT,5056,371,60 to 64 years,R3,Richmond,July,2016,z,email,True,2003,True,0.0
323577,1,JUVENILE,87,0,10 to 19 years,R3,Richmond,July,2014,p,phone,False,2010,False,1.0
372469,2,YOUNG ADULT,77,3,10 to 19 years,R3,Richmond,June,2016,z,email,True,2005,False,1.0
66426,0,ADULT,504,320,25 to 34 years,M4,Merced,March,2016,z,email,True,2003,False,11.0
41240,0,ADULT,138,219,25 to 34 years,S7,Sunset,July,2016,z,email,True,2011,False,4.0
84845,0,ADULT,0,0,35 to 44 years,M8,Mission Bay,None,None,z,email,True,2013,False,6.0
148815,0,ADULT,1,0,25 to 34 years,M2,Marina,June,2014,z,email,True,2014,False,2.0
375866,1,JUVENILE,18,4,10 to 19 years,YJJ,Children's Bookmobile,July,2016,z,email,True,2013,False,1.0
160311,0,ADULT,20,14,35 to 44 years,R3,Richmond,July,2016,z,email,True,2010,False,2.0
393981,9,SPECIAL,2439,1346,60 to 64 years,YJJ,Children's Bookmobile,July,2016,z,email,True,2003,False,6.0
253637,0,ADULT,504,1249,45 to 54 years,X,Main Library,February,2016,z,email,True,2005,True,0.0
22427,0,ADULT,158,1,20 to 24 years,M4,Merced,January,2014,p,phone,False,2003,False,11.0
316694,2,YOUNG ADULT,103,27,10 to 19 years,M6,Mission,September,2014,z,email,True,2003,False,0.0
243659,0,ADULT,15,8,35 to 44 years,M6,Mission,July,2013,z,email,True,2003,False,5.0
268268,0,ADULT,0,0,60 to 64 years,C2,Chinatown,None,None,a,print,False,2014,False,3.0
377424,2,YOUNG ADULT,68,10,10 to 19 years,A5,Anza,September,2014,p,phone,False,2006,False,1.0
411796,1,JUVENILE,59,18,10 to 19 years,B4,Bernal Heights,January,2015,p,phone,False,2010,False,10.0
232952,0,ADULT,30,28,25 to 34 years,I5,Ingleside,July,2016,z,email,True,2013,False,11.0
266780,0,ADULT,4,3,35 to 44 years,M6,Mission,March,2015,z,email,True,2013,False,8.0
61546,0,ADULT,1,0,20 to 24 years,C2,Chinatown,November,2012,p,phone,False,2012,False,3.0
186966,0,ADULT,23,27,25 to 34 years,P9,Presidio,February,2016,z,email,True,2013,False,5.0
209202,0,ADULT,116,25,35 to 44 years,X,Main Library,September,2015,z,email,True,2006,False,11.0
76565,3,SENIOR,0,0,65 to 74 years,X,Main Library,None,None,z,email,True,2016,True,0.0
199513,0,ADULT,88,153,25 to 34 years,C2,Chinatown,June,2008,z,email,True,2005,False,4.0
263511,0,ADULT,0,0,20 to 24 years,O2,Ocean View,None,None,z,email,True,2014,False,11.0
285625,0,ADULT,0,0,25 to 34 years,X,Main Library,None,None,z,email,True,2013,False,4.0
122419,0,ADULT,7,0,55 to 59 years,X,Main Library,December,2014,p,phone,False,2004,False,5.0
230929,0,ADULT,1,0,45 to 54 years,X,Main Library,March,2013,z,email,True,2013,True,0.0
342502,1,JUVENILE,1,0,0 to 9 years,P3,Parkside,October,2014,z,email,True,2014,False,11.0
47452,0,ADULT,273,164,55 to 59 years,O7,Ortega,May,2015,z,email,True,2003,False,4.0
381852,1,JUVENILE,5,0,0 to 9 years,P5,Portola,April,2015,z,email,True,2015,False,10.0
286428,0,ADULT,2,0,20 to 24 years,P3,Parkside,March,2016,z,email,True,2016,False,4.0
92061,0,ADULT,0,0,45 to 54 years,X,Main Library,None,None,a,print,False,2014,True,0.0
166400,0,ADULT,94,0,35 to 44 years,X,Main Library,July,2014,z,email,True,2014,True,0.0
248241,0,ADULT,254,1,60 to 64 years,W2,West Portal,July,2016,z,email,True,2012,False,7.0
297708,0,ADULT,336,232,35 to 44 years,P9,Presidio,July,2016,z,email,True,2004,False,0.0
23714,0,ADULT,0,0,35 to 44 years,B2,Bayview/Linda Brooks-Burton,None,None,z,email,True,2015,True,0.0
241997,0,ADULT,1,0,20 to 24 years,R3,Richmond,May,2012,z,email,True,2011,False,9.0
414546,1,JUVENILE,92,60,0 to 9 years,N6,North Beach,June,2016,z,email,True,2012,False,3.0
88889,0,ADULT,1,2,45 to 54 years,X,Main Library,July,2012,z,email,True,2012,True,0.0
65445,0,ADULT,42,47,35 to 44 years,E7,Eureka Valley/Harvey Milk Memorial,August,2015,z,email,True,2014,False,8.0
203195,0,ADULT,6,0,35 to 44 years,M6,Mission,November,2013,z,email,True,2010,False,11.0
118649,0,ADULT,0,0,45 to 54 years,X,Main Library,None,None,z,email,True,2016,False,8.0
229587,0,ADULT,236,28,25 to 34 years,B2,Bayview/Linda Brooks-Burton,February,2015,z,email,True,2003,False,10.0
257626,0,ADULT,848,162,20 to 24 years,C2,Chinatown,September,2013,z,email,True,2003,False,6.0
342239,3,SENIOR,3088,41,75 years and over,X,Main Library,July,2016,p,phone,False,2003,False,8.0
